ref	value	footprint	Mouser-Teilenr.	Feld2	Feld3	Feld4	Feld5	Feld6	Feld7	Feld8
AD1	AD2S1210	LQFP48	584-AD2S1210ASTZ							
C1	4.7µ	ELKO_vert_DM5_RM2	140-REA4R7M1JBK0511P		$0.066					
C2	10n	Smd_0805	77-VJ0805Y103KXBMC		$0.066					
C3	10n	Smd_0805	77-VJ0805Y103KXBMC		$0.066					
C4	20p	Smd_0805	581-08051A200JAT2A		$0.187					
C5	10n	Smd_0805	77-VJ0805Y103KXBMC		$0.066					
C6	22µ	ELKO_vert_DM6-3_RM2-5	140-REA220M1JBK0611P	$0.099						
C7	4.7µ	ELKO_vert_DM5_RM2	140-REA4R7M1JBK0511P		$0.066					
C8	20p	Smd_0805	581-08051A200JAT2A		$0.187					
C9	10n	Smd_0805	77-VJ0805Y103KXBMC		$0.066					
C10	4.7µ	ELKO_vert_DM5_RM2	140-REA4R7M1JBK0511P		$0.066					
C11	2.2µ	Smd_0805	77-VJ0805V225MXJTBC	$0.066						
C12	120p	Smd_0805	77-VJ0805A121FXAPBC		$0.088					
C13	120p	Smd_0805	77-VJ0805A121FXAPBC		$0.088					
C14	220µ	ELKO_vert_DM10_RM5	140-REA221M1VBK1012P	$0.198						
C15	10µ	ELKO_vert_DM5_RM2	140-RGA100M1VBK0511G		$0.088					
C16	100n	Smd_0805	77-VJ0805V104MXBPBC		$0.066					
C17	100n	Smd_0805	77-VJ0805V104MXBPBC		$0.066					
C18	10n	Smd_0805	77-VJ0805Y103KXBMC		$0.066					
OP1	OPA561	Tssop-20	595-OPA561PWP		$7.79					
OP2	OPA561	Tssop-20	595-OPA561PWP		$7.79					
P1	CONN_25X2	pin	array	25x2	855-M20-9982545	$1.57				
Q1	RECOM	Sip	3	919-R-78E5.0-0.5		$3.07				
R1	1k	Smd_0805	71-CRCW0805-1.0K-E3	$0.088						
R2	15.4k	Smd_0805	71-CRCW0805-15.4K-E3	$0.088						
R3	15.4k	Smd_0805	71-CRCW0805-15.4K-E3		$0.088					
R4	10k	Smd_0805	603-SR0805JR-0710KL	$0.044						
R5	10k	Smd_0805	603-SR0805JR-0710KL	$0.044						
R6	390k	Smd_0805	71-CRCW0805390KFKEA		$0.088					
R7	390k	Smd_0805	71-CRCW0805390KFKEA		$0.088					
R8	22k	Smd_0805	71-CRCW0805-22K-E3		$0.088					
R9	10k	Smd_0805	603-SR0805JR-0710KL	$0.044						
R10	22k	Smd_0805	71-CRCW0805-22K-E3		$0.088					
R11	10k	Smd_0805	603-SR0805JR-0710KL	$0.044						
X1	8.192	MHZ	crystal_ATS	774-ATS081BSM-1E		$0.396				
